trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999994899500434}",30,0,-245.52688430129578,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 5}",0
2,False,"{'a': 0.5, 'e': 0.9999979598006937}",20,0,-190.88093310748673,"{0: 9, 1: 0, 2: 6, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9999954095535121}",25,0,-150.3990057034336,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9999918392110998}",20,0,-129.89285808056113,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.999987248777099}",25,0,-192.6785575623381,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9999816382561926}",25,0,-88.59033306735613,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9999750076541036}",35,13,-75.34910770456503,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.999967356977596}",25,0,-105.35580670684026,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9999586862344744}",20,0,-100.96662403635864,"{0: 11, 1: 1, 2: 5, 3: 3, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9999489954335835}",20,0,-67.52611343634504,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9999382845848092}",25,0,-126.41959071890444,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9999265536990775}",25,0,-99.92395932819689,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9999138027883551}",20,0,-78.6636543826223,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.999900031865649}",20,0,-94.94359710150589,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9998852409450073}",30,15,-99.20846062592845,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 2}",1
