trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-71.72139645078168,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-177.73551684453128,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-190.61310738838952,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-139.40205604239955,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-70.67418015478613,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-80.77956030357494,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-72.9926001715369,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-128.7809933175723,"{0: 12, 1: 4, 2: 6, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-104.99437954266247,"{0: 14, 1: 3, 2: 5, 3: 3, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-48.81319492789497,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-64.2343739367806,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-89.35535332423483,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-61.743316905234884,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-123.68105594042167,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-211.09222311258537,"{0: 17, 1: 6, 2: 2, 3: 1, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-112.26374603935172,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-81.86053203806115,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-160.73843080487552,"{0: 6, 1: 5, 2: 6, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-200.6706592817245,"{0: 12, 1: 0, 2: 9, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,0,-192.75161928959642,"{0: 20, 1: 2, 2: 10, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",30,0,-161.35744218060952,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-92.80845450438738,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",30,0,-184.22329181945426,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 4}",0
4,True,"{'a': 0, 'e': 0}",20,0,-125.79125303321835,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,0,-110.8560800155318,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-82.35848583603325,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-145.1522743211679,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",30,0,-233.0927713986546,"{0: 12, 1: 6, 2: 6, 3: 4, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,-82.74796888117244,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,9,-86.37613804191798,"{0: 9, 1: 0, 2: 6, 3: 0, 4: 1}",1
